timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
12021193,-11,-672,-378,-1504,5309,2286
12021203,285,-652,2,-1643,4984,2394
12021213,565,-583,413,-1617,4181,2412
12021223,1070,-772,890,-1335,3442,2305
12021220,1071,-772,891,-1334,3441,2389
12021230,2024,-1561,1225,-751,3002,2066
12021240,2649,-1640,1689,-1069,2302,1315
12021250,3621,-1649,2573,-1889,1478,608
12021260,3358,-661,2854,-2920,-631,-256
12021270,2105,-751,2372,-2714,-3896,-960
12021280,1584,-1440,1917,-1666,-6586,-932
12021290,1228,-1483,1984,-1997,-8427,-1373
12021300,1040,-1243,2402,-2101,-9826,-2292
12021310,365,-1617,2498,-653,-11141,-3344
12021320,-176,-2116,2533,591,-12464,-4194
12021330,-826,-2335,2449,1089,-13507,-4896
12021340,-1673,-2312,2258,1083,-14531,-5444
12021350,-2382,-2197,1953,250,-14820,-6029
12021360,-2607,-2354,1785,-189,-13976,-6881
12021370,-2885,-2162,1624,-631,-12995,-7643
12021380,-3263,-1911,1642,-1138,-12135,-7559
12021390,-3646,-1646,1926,-1634,-11441,-7142
12021400,-4173,-1025,1931,-2420,-11084,-6694
12021410,-4760,-598,1678,-2548,-10759,-6059
12021420,-5456,-195,1153,-2365,-10470,-5449
12021430,-6379,306,304,-2364,-10221,-4811
12021440,-7592,157,-543,-2267,-9779,-4639
12021450,-6589,1428,-1944,-3081,-8577,-5775
12021460,-6979,875,-2059,-2044,-6810,-4686
12021470,-5696,1041,-1887,-947,-4067,-3586
12021466,-5696,1041,-1887,-947,-4067,-3465
12021476,-5355,610,-1305,-277,-1527,-2059
12021486,-4604,100,-847,49,106,-1616
12021496,-4128,-197,-596,-45,841,-952
12021506,-3733,-346,-410,-113,1216,-245
12021516,-3480,-397,-399,-245,1379,327
12021526,-3259,-485,-443,-108,1458,591
12021536,-3126,-651,-545,95,1545,573
12021546,-3001,-913,-689,133,1695,432
12021556,-2814,-959,-749,-84,1900,352
12021566,-2732,-1013,-758,-274,1977,287
12021576,-2708,-919,-818,-521,1935,252
12021586,-2619,-862,-881,-587,1963,154
12021596,-2475,-833,-910,-540,2047,-22
12021606,-2390,-856,-900,-525,2176,-136
12021616,-2261,-719,-867,-542,2489,-286
12021626,-1978,-591,-711,-358,2851,-617
12021636,-1713,-730,-592,126,2964,-916
12021646,-1505,-867,-513,444,2852,-1047
12021656,-1463,-985,-526,483,2621,-1093
12021666,-1438,-1089,-534,308,2450,-1089
12021676,-1408,-1162,-502,-69,2414,-1245
12021686,-1384,-1059,-472,-560,2374,-1422
12021696,-957,-784,-291,-700,2326,-1643
12021706,-1117,-758,-293,-210,1883,-2244
12021716,-1311,-1431,-488,1043,1019,-3586
12021713,-1311,-1432,-487,1044,1019,-3351
12021723,-1506,-1413,-516,515,1289,-2987
12021733,-1541,-1209,-570,194,962,-2662
12021743,-1617,-1132,-646,98,584,-2522
12021753,-1670,-1040,-840,249,518,-2673
12021763,-1786,-756,-854,412,639,-3073
12021773,-1662,-851,-800,910,858,-3842
12021783,-1666,-806,-697,1002,706,-4450
12021793,-1698,-711,-609,790,750,-4629
12021803,-1589,-676,-634,545,779,-4543
12021813,-1715,-588,-713,352,643,-4204
12021823,-1923,-490,-1000,717,436,-3956
12021833,-2022,-510,-1235,1234,581,-4010
12021843,-2152,-437,-1310,1709,909,-4097
12021853,-2163,-486,-1375,2139,1237,-3945
12021863,-1983,-617,-1397,2439,1527,-3797
12021873,-1862,-630,-1279,2100,1679,-3609
12021883,-1974,-603,-1262,1606,1722,-3156
12021893,-1894,-528,-1215,1293,2033,-2521
12021903,-1690,-472,-1364,1169,1996,-1792
12021913,-2042,-580,-1530,1218,1480,-1198
12021923,-2064,-547,-1524,1229,1723,-724
12021933,-2011,-633,-1470,1363,1921,-227
12021943,-1936,-934,-1465,1594,2181,199
12021953,-1872,-1150,-1421,1585,2308,716
12021963,-2076,-1082,-1372,1387,2247,1024
12021960,-2076,-1083,-1372,1387,2247,1063
12021970,-2146,-1070,-1310,1380,2406,1164
12021980,-2191,-1062,-1259,1396,2694,974
12021990,-2254,-960,-1252,1405,3157,863
12022000,-2385,-901,-1374,1291,3538,1032
12022010,-2558,-929,-1575,1193,3936,1396
12022020,-2764,-881,-1702,1027,4478,1857
12022030,-2786,-1045,-1759,857,5267,2251
12022040,-2752,-1115,-1616,400,6037,2809
12022050,-2666,-1152,-1351,-12,6890,3324
12022060,-2404,-1099,-1005,-30,7426,3607
12022070,-2329,-1011,-708,335,7644,3609
12022080,-2070,-1181,-322,990,7817,3371
12022090,-1975,-1427,-67,1659,7971,3086
12022100,-1896,-1770,258,2045,8182,2959
12022110,-1822,-2098,543,2245,8340,3002
12022120,-1663,-2413,941,2635,8627,2956
12022130,-1522,-2667,1376,3028,8872,2910
12022140,-1144,-2774,2012,3396,9056,2749
12022150,-892,-2777,2510,3629,8738,2471
12022160,349,-3163,3362,3972,8447,2073
12022170,1710,-3745,4047,3810,7781,1563
12022180,3481,-4239,4237,3285,6558,1093
12022190,3688,-3554,4130,2530,4651,220
12022200,2619,-2786,3550,2435,2334,-751
12022210,1456,-2852,2678,3525,227,-1537
12022206,1457,-2852,2678,3525,227,-1329
12022216,934,-2988,1935,4628,-872,-1561
12022226,621,-2643,1687,4672,-1258,-1720
12022236,-466,698,3984,4030,-1051,-1479
12022246,141,-3303,818,8083,-173,-872
12022256,822,-2815,648,2613,-2104,-652
12022266,452,-2588,449,1198,-1739,-100
12022276,236,-2091,157,-890,-1628,326
12022286,60,-2044,-284,-1146,-1324,477
12022296,-58,-1998,-611,-1221,-1037,418
12022306,52,-1833,-773,-1406,-675,480
12022316,87,-1684,-773,-1229,-417,378
12022326,83,-1691,-989,-754,-305,264
12022336,-28,-1641,-1071,-55,-85,119
12022346,-13,-1775,-1112,694,230,-95
12022356,82,-1954,-1050,1221,528,-233
12022366,122,-2050,-874,1285,753,-132
12022376,196,-2113,-725,1336,915,0
12022386,306,-2202,-614,1536,928,78
12022396,309,-2171,-540,1718,937,85
12022406,535,-2320,-381,1875,1043,93
12022416,496,-2481,-391,2055,1012,-154
12022426,615,-2325,-227,1842,1030,-384
12022436,641,-2253,-100,1733,1052,-655
12022446,605,-2220,-93,1722,982,-834
12022456,543,-2067,-105,1791,910,-1024
12022453,544,-2067,-105,1791,910,-925
12022463,599,-2485,-137,2192,812,-972
12022473,703,-2457,14,2252,702,-1077
12022483,632,-2479,86,2117,588,-1190
12022493,586,-2448,67,2098,543,-1183
12022503,469,-2349,147,2190,809,-1235
12022513,-109,-2199,108,2421,1341,-1399
12022523,1076,-2046,534,3081,2863,-1815
12022533,960,-2170,283,4326,1892,-2347
12022543,813,-2080,447,3080,1556,-1722
12022553,476,-2083,235,2986,1046,-1393
12022563,628,-2137,481,2669,1409,-1891
12022573,896,-2019,504,2243,1602,-1824
12022583,722,-1953,518,1928,862,-1075
12022593,808,-2049,520,1822,351,-691
12022603,757,-1795,575,1706,217,-886
12022613,762,-1660,652,1811,731,-1007
12022623,809,-1578,738,1708,757,-989
12022633,767,-1558,805,1708,696,-1156
12022643,683,-1429,895,1527,850,-1365
12022653,689,-1347,1029,1377,1248,-1613
12022663,1001,-1424,1050,1450,1994,-1934
12022673,948,-1311,1107,1150,1475,-1789
12022683,939,-1261,1162,658,986,-1537
12022693,888,-1209,1187,-55,873,-1246
12022703,919,-1070,1242,-647,782,-768
12022700,919,-1071,1243,-647,782,-692
12022710,816,-959,1222,-825,464,216
12022720,755,-775,1176,-696,379,789
12022730,-251,1979,-1049,-255,549,684
12022740,589,-1751,2352,3993,1728,1667
12022750,353,-642,2128,2032,493,2077
12022760,1254,-655,2687,1250,2162,-80
12022770,1109,-402,3095,648,1296,616
12022780,1378,-160,3382,-167,653,672
12022790,1595,61,3856,-808,-204,929
12022800,1600,-8,4237,-1204,-1792,1759
12022810,1551,278,4128,-1859,-3577,2711
12022820,1121,-26,3966,-1838,-5232,3362
12022830,816,-314,4017,-722,-6599,3670
12022840,770,-541,4154,496,-7323,3649
12022850,645,-811,4283,1516,-7884,3486
12022860,466,-1071,4295,2307,-8430,3428
12022870,122,-1394,4302,2971,-8977,3332
12022880,-296,-1635,4169,3307,-9483,3135
12022890,-614,-1864,3884,3528,-9893,2788
12022900,-729,-1792,3450,3558,-10187,2436
12022910,-1174,-1816,3005,3418,-10395,2151
12022920,-1084,-1723,2617,3304,-10279,1962
12022930,-1117,-1806,2310,3299,-9950,1924
12022940,-1432,-1570,1934,3166,-9625,2110
12022950,-1173,-2493,2155,3476,-9157,2049
12022947,-1173,-2493,2156,3476,-9158,2058
12022957,-1497,-2605,1912,2365,-8917,2818
12022967,-1883,-2761,1754,1062,-8922,3347
12022977,-2234,-3238,1416,362,-8512,3430
12022987,-2369,-3408,677,-416,-8018,3503
12022997,-2279,-2810,35,-1192,-7496,3411
12023007,-2700,-3105,-241,-247,-7754,2360
12023017,-2241,-2776,-476,103,-6863,807
12023027,-2293,-2269,-731,-197,-5937,311
12023037,-2053,-2207,-689,480,-5195,-1
12023047,-1782,-2123,-635,852,-4305,-209
12023057,-1716,-2072,-624,1146,-3737,-329
12023067,-1468,-2052,-640,1400,-3188,-431
12023077,-1412,-2038,-583,1526,-2872,-478
12023087,-1221,-1967,-473,1484,-2404,-573
12023097,-1124,-1940,-444,1488,-1996,-447
12023107,-1047,-1926,-404,1571,-1668,-245
12023117,-848,-1951,-319,1652,-1248,-255
12023127,-739,-1967,-216,1659,-862,-201
12023137,-627,-2019,-100,1578,-501,-69
12023147,-574,-2283,193,1409,-167,23
12023157,-323,-1974,41,140,-351,271
12023167,-477,-2185,223,778,233,348
12023177,-405,-2189,244,534,515,421
12023187,-408,-2270,264,394,761,406
12023197,-483,-2362,271,301,906,0
12023193,-482,-2363,272,302,906,211
12023203,-631,-2534,191,326,981,-124
12023213,-727,-2582,37,158,978,-533
12023223,-754,-2567,39,160,1011,-1008
12023233,-1048,-2618,-113,363,1058,-1235
12023243,-1372,-2518,-367,452,1271,-1444
12023253,-1603,-2514,-467,786,2076,-1742
12023263,-1616,-2585,-290,1129,3228,-2001
12023273,-1741,-2770,-81,1334,4202,-2091
12023283,-1827,-2853,32,1080,4958,-2136
12023293,-1934,-2894,249,616,5561,-2303
12023303,-2032,-2651,349,-1,6275,-2738
12023313,-1928,-2360,698,-294,7134,-3262
12023323,-1848,-2105,1044,-367,7834,-3725
12023333,-1804,-1865,1200,-632,8236,-4031
12023343,-1871,-1514,1112,-1093,8766,-4146
12023353,-1871,-1316,1404,-1194,9489,-4388
12023363,-1838,-1113,1841,-1008,9891,-4685
12023373,-1907,-924,2123,-850,10037,-4852
12023383,-1928,-766,2609,-687,10560,-4705
12023393,-1790,-778,3457,-398,11237,-4344
12023403,-1612,-1004,3995,-337,11402,-3814
12023413,-1460,-926,4341,-1215,11232,-3121
12023423,-1117,-715,4730,-2099,10910,-2862
12023433,-743,-363,4891,-2552,10414,-2820
12023443,-274,-194,5006,-2577,9826,-3073
12023440,-273,-195,5007,-2577,9826,-2902
12023450,325,-242,5153,-2358,9155,-3050
12023460,1093,-217,5413,-2025,8451,-3173
12023470,1951,-70,5833,-1543,7769,-3190
12023480,2050,-321,5348,-1102,6422,-2603
12023490,1222,-460,4558,-1155,4323,-1087
12023500,398,-928,4043,-787,2820,-35
12023510,80,-1243,3560,-485,1858,109
12023520,-134,-1291,3092,-671,1239,157
12023530,-190,-1315,2772,-854,738,142
12023540,-86,-1334,2523,-875,196,8
12023550,26,-1363,2269,-946,-328,-10
12023560,205,-1377,2079,-1061,-608,109
12023570,332,-1401,1946,-1221,-827,324
12023580,259,-1466,1785,-1347,-1135,613
12023590,294,-1541,1638,-1510,-1260,775
12023600,321,-1559,1550,-1763,-1245,728
12023610,350,-1618,1595,-1953,-1337,771
12023620,372,-1632,1509,-2224,-1598,888
12023630,425,-1669,1464,-2430,-1957,1001
12023640,490,-1700,1477,-2463,-2433,1089
12023650,487,-1703,1394,-2495,-3048,1226
12023660,458,-1748,1336,-2451,-3699,1403
12023670,341,-1835,1237,-2341,-4336,1657
12023680,181,-1990,1194,-2336,-4818,1972
12023690,111,-2160,1213,-2411,-5075,2049
12023687,112,-2160,1213,-2411,-5075,2266
12023697,-59,-2289,1105,-2817,-5195,2669
12023707,-263,-2314,916,-3429,-5187,3043
12023717,-479,-2366,631,-4047,-5060,3254
12023727,-681,-2332,306,-4662,-4729,3395
12023737,-776,-2370,19,-5082,-4112,3411
12023747,-1104,-2428,-399,-5370,-3514,3363
12023757,-1214,-2418,-781,-5585,-3127,2964
12023767,-1415,-2563,-1181,-5638,-2883,2309
12023777,-1837,-2514,-1940,-5950,-2623,1894
12023787,-2207,-2271,-2889,-6073,-2136,1195
12023797,-2070,-2050,-3096,-5551,-429,-90
12023807,-1567,-1772,-2916,-4861,1988,-938
12023817,-1257,-1608,-2336,-4110,3973,-927
12023827,-1018,-1569,-1905,-3467,4851,-810
12023837,-771,-1442,-1873,-3491,5025,-983
12023847,-864,-1349,-2313,-3648,5049,-1051
12023857,-862,-1167,-2424,-3490,5547,-1209
12023867,-730,-1244,-2383,-2683,5997,-1409
12023877,-504,-1235,-2208,-2249,5762,-1545
12023887,-442,-993,-2295,-2505,5401,-1559
12023897,-432,-868,-2399,-2719,5388,-1604
12023907,-356,-877,-2337,-2419,5768,-1519
12023917,-259,-838,-2138,-2054,6391,-1557
12023927,-13,-704,-1754,-2009,6893,-1900
12023937,262,-521,-1643,-2122,6943,-2049
12023933,263,-521,-1643,-2122,6942,-2016
